CATEGORY	SCORE	COUNT	RETURN_RATE
Business	0	838	32.580015853538
Business	1	1820	36.3576870923334
Business	2	2234	45.7268208728393
Business	3	2675	46.5929721657371
Business	4	3185	60.0122956552892
Business	5	3801	61.4675224905036
Business	6	3761	67.0201487495812
Business	7	3421	79.11169353689
Business	8	3339	95.7322101379421
Business	9	3608	132.225745749532
Education	0	1999	18.8685101952533
Education	1	3042	29.0312044901693
Education	2	3228	38.6849311228964
Education	3	3270	43.5465771714854
Education	4	3159	51.0147812898598
Education	5	3004	55.3039480601414
Education	6	2561	66.4552334528517
Education	7	1920	72.8545265459307
Education	8	1772	100.202223268728
Education	9	1675	132.781737216638
Fashion, Style and Personal Care	0	234	22.2623737257899
Fashion, Style and Personal Care	1	589	33.4952352005918
Fashion, Style and Personal Care	2	794	41.8828165347402
Fashion, Style and Personal Care	3	977	51.8772979575938
Fashion, Style and Personal Care	4	971	60.0169958635544
Fashion, Style and Personal Care	5	1182	61.5894817945161
Fashion, Style and Personal Care	6	1095	72.8452545639143
Fashion, Style and Personal Care	7	1059	83.103091967728
Fashion, Style and Personal Care	8	907	106.280762554756
Fashion, Style and Personal Care	9	799	133.078775602354
Legal	0	114	41.922942067709
Legal	1	216	47.6033161104146
Legal	2	314	75.8147916713086
Legal	3	358	59.5923053038862
Legal	4	421	71.0613528981049
Legal	5	607	84.7134460620912
Legal	6	718	105.04252598835
Legal	7	812	91.1381375760109
Legal	8	1015	102.668788368653
Legal	9	1151	129.401369302864
Parenting	0	282	11.9407663083893
Parenting	1	435	28.8839635235195
Parenting	2	476	36.1066042062605
Parenting	3	373	37.3030510615535
Parenting	4	363	39.5355885116197
Parenting	5	352	59.6821444265581
Parenting	6	295	57.97977590869
Parenting	7	264	71.6757140998732
Parenting	8	206	72.1557566244819
Parenting	9	146	102.096491144609
Personal Finance	0	1096	29.1415368587347
Personal Finance	1	1724	44.2197784255202
Personal Finance	2	1824	56.0245731312318
Personal Finance	3	2263	62.0888197643679
Personal Finance	4	2517	70.5197167137493
Personal Finance	5	3305	77.433197345181
Personal Finance	6	3567	92.6793515947077
Personal Finance	7	3712	106.231068321667
Personal Finance	8	3920	112.810209465575
Personal Finance	9	5374	225.579540472378
Pets	0	464	12.6336969437675
Pets	1	911	22.7984164230426
Pets	2	982	29.3350223406952
Pets	3	935	37.8534407906433
Pets	4	809	46.1511656898995
Pets	5	758	52.0297800012071
Pets	6	727	58.6299470157217
Pets	7	495	69.599565691675
Pets	8	357	75.6540801604989
Pets	9	215	75.7138442564761
Relationships and Family	0	226	20.4536027832011
Relationships and Family	1	327	29.1690321356498
Relationships and Family	2	346	43.7439901622028
Relationships and Family	3	346	46.8472917564081
Relationships and Family	4	410	58.266557396012
Relationships and Family	5	412	58.4427380727733
Relationships and Family	6	400	73.2626864799687
Relationships and Family	7	424	75.9189567854922
Relationships and Family	8	383	102.29198233538
Relationships and Family	9	457	141.457831554406
Technology	0	15099	14.272161661565
Technology	1	12282	24.512928200309
Technology	2	9413	31.7393741154406
Technology	3	7905	37.0517468938355
Technology	4	6665	42.5782195537549
Technology	5	5784	55.7005138385632
Technology	6	4646	56.7711777055276
Technology	7	3158	69.2654608856854
Technology	8	2871	83.933596022949
Technology	9	2329	113.253862280445
Travel	0	6832	0
Travel	1	4122	7.42367576766982
Travel	2	3016	5.38752120414347
Travel	3	2348	5.42986308571141
Travel	4	1862	9.94935072969075
Travel	5	1619	13.3997948192301
Travel	6	1383	17.0793821607033
Travel	7	1007	28.9813135583813
Travel	8	805	35.2283928971535
Travel	9	744	67.9819392557508
